Question #,Question,Choice 1,Choice 2,Choice 3,Answer
1,What dinosaur name means \“fast thief\” and lived during the Cretaceous period?,T-Rex,Velociraptor,Triceratops,Velociraptor
2,On which continent have the most dinosaur fossils been found?,North America,South America,Africa,North America
3,What dinosaur-themed book was turned into a blockbuster movie in 1993?,Jurassic Park,Tarzan,Star Wars,Jurassic Park
4,What does the word “dinosaur” mean?,Hamburger,Lazy Dragon,Terrible Lizard,Terrible Lizard
5,When did dinosaurs become extinct?,Yesterday,65 million years ago,45 million years ago,65 million years ago
6,What dinosaur fossil was originally mistaken for a type of bison?,Triceratops,T-Rex,Stegosaurus,Triceratops
7,What is the only dinosaur lineage to survive the mass extinction event?,Cocodriles,Birds,Snakes,Birds
8,How did most dinosaurs reproduce?,Lay Eggs,Pregnancy,They Don't Reproduce,Lay Eggs
9,What was known as the biggest dinosaur?,Dreadnoughtus,Spinosaurus,Argentinosaurus,Dreadnoughtus
10,How many horns did Triceratops have?,Two,Three,One,Three
11,How many legs did the earliest dinosaurs walk on?,Two,Four,Six,Two
12,How many claws did a velociraptor have on each hand?,Three,Two,Five,Three
13,"At the beginning of the Triassic period, how many continents were there?",Five,One,Seven,One
14,For how many years did dinosaurs rule the earth?,180 million years,125 million years,165 million years,165 million years
15,What kind of dinosaur is the Toronto-based NBA basketball team named after?,Toronto Rex,Toronto Raptors,Toronto Gallimimus,Toronto Raptors
16,What is the nickname of the most complete T-rex specimen ever discovered?,Sue,Sony,Sally,Sue
17,What was the first carnivorous dinosaur to be discovered in Antarctica?,Cryolophosaurus,Velociraptor,Argentinosaurus,Cryolophosaurus
18,What did Ankylosaurus have on the end of its tail?,A Bell,A Club,A Pc Gamer,A Club
19,How many teeth did Triceratops have?,600 Teeth,400 Teeth,800 Teeth,800 Teeth
20,"How many species of dinosaurs appeared in Michael Crichton’s 1990 novel, Jurassic Park?",Fifteen,Eighteen,Twenty-Five,Fifteen
